id,best_months,activities,vibe,must_see,kid_friendly,romantic,accessibility_score,nightlife
DPS,5|6|7|8|9,해변|서핑|요가|사원,휴양,우붓|짱구|울루와뚜사원,6,9,5,7
LIS,4|5|6|9|10,도보관광|미식|에그타르트|전망,감성,벨렘탑|알파마|신트라,7,8,8,7
BKK,11|12|1|2,사원|미식|야시장|마사지,도시문화,왕궁|왓아룬|짜뚜짝마켓,6,6,6,9
CNX,11|12|1|2,사원|트레킹|카페|코끼리보호소,자연,도이수텝|올드시티|선데이마켓,7,7,5,5
TYO,3|4|10|11,도시관광|미식|쇼핑|애니메이션,도시문화,시부야|아사쿠사|디즈니랜드,8,7,9,8
OSA,3|4|10|11,미식|도시관광|테마파크|쇼핑,도시문화,도톤보리|오사카성|유니버설스튜디오,8,7,9,8
DAD,2|3|4|5,해변|리조트|미식|투어,휴양,미케비치|바나힐|호이안,7,8,5,6
BCN,5|6|9|10,해변|건축|미식|도보관광,감성,사그라다파밀리아|구엘공원|람블라스,7,8,8,8
DXB,11|12|1|2|3,쇼핑|사막투어|럭셔리|전망,이국,부르즈할리파|두바이몰|사막사파리,8,7,9,7
HKT,11|12|1|2|3,해변|스노클링|리조트|나이트라이프,휴양,파통비치|피피섬|빅부다,7,8,6,8
